ID,CITY,CITY_ASCII,COUNTRY
1012254407,Timoktene,Timoktene,DZA
1012262770,Abadla,Abadla,DZA
1012266321,Guelma,Guelma,DZA
1012268984,Djelfa,Djelfa,DZA
1012275076,Constantine,Constantine,DZA
1012278908,Messaad,Messaad,DZA
1012278992,Kadiria,Kadiria,DZA
1012284313,Lakhdaria,Lakhdaria,DZA
1012285874,Saïda,Saida,DZA
1012287430,Bordj Menaïel,Bordj Menaiel,DZA
1012290725,Azeffoun,Azeffoun,DZA
1012292620,El Eulma,El Eulma,DZA
1012312650,Ouadhia,Ouadhia,DZA
1012326451,Iflissen,Iflissen,DZA
1012327989,Beni Ounif,Beni Ounif,DZA
1012339655,Hassi Messaoud,Hassi Messaoud,DZA
1012348181,Seddouk Oufella,Seddouk Oufella,DZA
1012351010,Timimoun,Timimoun,DZA
1012371820,Béchar,Bechar,DZA
1012372550,Freha,Freha,DZA
1012376964,Aomar,Aomar,DZA
1012378735,Souma,Souma,DZA
1012379618,Boudjima,Boudjima,DZA
1012383350,El Adjiba,El Adjiba,DZA
1012384530,Mekla,Mekla,DZA
1012419619,Souk Ahras,Souk Ahras,DZA
1012420167,Beni Amrane,Beni Amrane,DZA
1012425687,Ouargla,Ouargla,DZA
1012450434,Tindouf,Tindouf,DZA
1012453452,’Aïn Arnat,'Ain Arnat,DZA
1012462113,Adrar,Adrar,DZA
1012469007,Aïn Oussera,Ain Oussera,DZA
1012471822,Aït Bou Madhi,Ait Bou Madhi,DZA
1012479386,Abalessa,Abalessa,DZA
1012495148,Khenchela,Khenchela,DZA
1012499058,Illizi,Illizi,DZA
1012512259,Boufarik,Boufarik,DZA
1012529757,’Aïn Roua,'Ain Roua,DZA
1012532288,Souk el Had,Souk el Had,DZA
1012546670,Touggourt,Touggourt,DZA
1012563094,Draa el Mizan,Draa el Mizan,DZA
1012563877,Bechloul,Bechloul,DZA
1012574444,Beni Aïssi,Beni Aissi,DZA
1012591585,Tifra,Tifra,DZA
1012595495,’Aïn el Hammam,'Ain el Hammam,DZA
1012600001,Annaba,Annaba,DZA
1012612535,Yakouren,Yakouren,DZA
1012618002,Sidi Daoud,Sidi Daoud,DZA
1012619903,Skikda,Skikda,DZA
1012623458,Ouled Moussa,Ouled Moussa,DZA
1012627486,Boumerdes,Boumerdes,DZA
1012633792,Beni Abbès,Beni Abbes,DZA
1012656063,Mila,Mila,DZA
1012656497,Aïn Defla,Ain Defla,DZA
1012660842,Beni Fouda,Beni Fouda,DZA
1012667528,Moudjbara,Moudjbara,DZA
1012675026,Afir,Afir,DZA
1012677951,Aït Yaïch,Ait Yaich,DZA
1012695288,Aïn Zaouïa,Ain Zaouia,DZA
1012696122,Arhribs,Arhribs,DZA
1012706441,El Maïn,El Main,DZA
1012706826,El Milia,El Milia,DZA
1012709576,Reggane,Reggane,DZA
1012717910,Dellys,Dellys,DZA
1012718665,Bou Nouh,Bou Nouh,DZA
1012727170,Ouled Rached,Ouled Rached,DZA
1012738269,Mascara,Mascara,DZA
1012740129,Boghni,Boghni,DZA
1012742443,Beni Douala,Beni Douala,DZA
1012743339,Tissemsilt,Tissemsilt,DZA
1012745524,Iferhounene,Iferhounene,DZA
1012746080,’Aïn Azel,'Ain Azel,DZA
1012755999,Charouine,Charouine,DZA
1012758282,Médéa,Medea,DZA
1012763655,Aïn Temouchent,Ain Temouchent,DZA
1012765474,Tamanrasset,Tamanrasset,DZA
1012766595,Amoucha,Amoucha,DZA
1012767619,Timizart,Timizart,DZA
1012772239,Chlef,Chlef,DZA
1012779789,Es Senia,Es Senia,DZA
1012782547,Jijel,Jijel,DZA
1012785868,Tiaret,Tiaret,DZA
1012786926,Makouda,Makouda,DZA
1012794312,Tizi Gheniff,Tizi Gheniff,DZA
1012798792,Tichi,Tichi,DZA
1012820383,Sidi Namane,Sidi Namane,DZA
1012827195,Djanet,Djanet,DZA
1012834851,El Golea,El Golea,DZA
1012841664,Taourga,Taourga,DZA
1012850542,Naama,Naama,DZA
1012857730,M’Sila,M'Sila,DZA
1012858445,Takerbouzt,Takerbouzt,DZA
1012866308,Tipasa,Tipasa,DZA
1012884513,Aïn Sefra,Ain Sefra,DZA
1012906892,El Bayadh,El Bayadh,DZA
1012908635,Thenia,Thenia,DZA
1012925118,Tizi-n-Bechar,Tizi-n-Bechar,DZA
1012925920,Tizi-n-Tleta,Tizi-n-Tleta,DZA
1012931222,Bou Saâda,Bou Saada,DZA
1012932001,Tirmitine,Tirmitine,DZA
1012938624,Ifigha,Ifigha,DZA
1012939885,Relizane,Relizane,DZA
1012945794,Bordj Mokhtar,Bordj Mokhtar,DZA
1012947247,Biskra,Biskra,DZA
1012950888,Akbou,Akbou,DZA
1012958256,Mecheria,Mecheria,DZA
1012958880,Oum el Bouaghi,Oum el Bouaghi,DZA
1012966884,Tizi Rached,Tizi Rached,DZA
1012969588,Azzaba,Azzaba,DZA
1012971347,Arbaoun,Arbaoun,DZA
1012973369,Algiers,Algiers,DZA
1012978325,Tlemcen,Tlemcen,DZA
1012981116,Sétif,Setif,DZA
1012989318,Djinet,Djinet,DZA
1012996789,Sali,Sali,DZA
1016976740,Pago Pago,Pago Pago,ASM
1020008674,Escaldes-Engordany,Escaldes-Engordany,AND
1020417470,Encamp,Encamp,AND
1020543453,La Massana,La Massana,AND
1020594179,Canillo,Canillo,AND
1020655238,Ordino,Ordino,AND
1020828846,Andorra la Vella,Andorra la Vella,AND
1020885733,Sant Julià de Lòria,Sant Julia de Loria,AND
1024007950,Quibala,Quibala,AGO
1024009942,Chibemba,Chibemba,AGO
1024011632,Quilenda,Quilenda,AGO
1024017930,Chibia,Chibia,AGO
1024023900,Ucuma,Ucuma,AGO
1024025450,Nzeto,Nzeto,AGO
1024029875,Alto-Cuilo,Alto-Cuilo,AGO
1024037086,Camacupa,Camacupa,AGO
1024050171,Caxito,Caxito,AGO
1024056286,Lucapa,Lucapa,AGO
1024063224,Humpata,Humpata,AGO
1024065318,Mungo,Mungo,AGO
1024079828,Huambo,Huambo,AGO
1024081092,Longonjo,Longonjo,AGO
1024089157,Chipindo,Chipindo,AGO
1024103269,Chitembo,Chitembo,AGO
1024105319,Chongoroi,Chongoroi,AGO
1024121799,Dundo,Dundo,AGO
1024128946,Lobito,Lobito,AGO
1024135358,Cuchi,Cuchi,AGO
1024141961,Benguela,Benguela,AGO
1024158837,Tchitado,Tchitado,AGO
1024159015,Gabela,Gabela,AGO
1024191137,Chinguar,Chinguar,AGO
1024195525,Cuito Cuanavale,Cuito Cuanavale,AGO
1024196826,Belas,Belas,AGO
1024240126,Caluquembe,Caluquembe,AGO
1024251027,Balombo,Balombo,AGO
1024280825,Londuimbali,Londuimbali,AGO
1024283760,Luena,Luena,AGO
1024297937,Sumbe,Sumbe,AGO
1024312565,Cambambe,Cambambe,AGO
1024319966,Bolongongo,Bolongongo,AGO
1024320952,Ganda,Ganda,AGO
1024321158,Catape,Catape,AGO
1024323066,Dondo,Dondo,AGO
1024323582,Xangongo,Xangongo,AGO
1024326839,Saurimo,Saurimo,AGO
1024334740,Cazombo,Cazombo,AGO
1024356360,Cacongo,Cacongo,AGO
1024402215,Conda,Conda,AGO
1024414170,Catchiungo,Catchiungo,AGO
1024458480,Kuvango,Kuvango,AGO
1024474012,Cabinda,Cabinda,AGO
1024489244,Porto Alexandre,PortoAlexandre,AGO
1024504085,Ondjiva,Ondjiva,AGO
1024511668,Cassongue,Cassongue,AGO
1024514740,Cuango,Cuango,AGO
1024532464,Mbanza Kongo,Mbanza Kongo,AGO
1024536521,Nambuangongo,Nambuangongo,AGO
1024545873,Calulo,Calulo,AGO
1024559448,Cacuaco,Cacuaco,AGO
1024568664,Lubalo,Lubalo,AGO
1024580158,Cubal,Cubal,AGO
1024585059,Mavinga,Mavinga,AGO
1024592975,Cacolo,Cacolo,AGO
1024609563,Ambriz,Ambriz,AGO
1024638606,Cahama,Cahama,AGO
1024645515,Ndalatando,Ndalatando,AGO
1024646532,Muconda,Muconda,AGO
1024666275,Uíge,Uige,AGO
1024668438,Bala Cangamba,Bala Cangamba,AGO
1024669127,Lubango,Lubango,AGO
1024677127,Uacu Cungo,Uacu Cungo,AGO
1024686026,Cuemba,Cuemba,AGO
1024699465,Luau,Luau,AGO
1024701540,Camabatela,Camabatela,AGO
1024725650,Menongue,Menongue,AGO
1024743438,Baía Farta,Baia Farta,AGO
1024774947,Malanje,Malanje,AGO
1024785067,Moçâmedes,Mocamedes,AGO
1024818756,Porto Amboim,Porto Amboim,AGO
1024821574,Catumbela,Catumbela,AGO
1024822780,Calenga,Calenga,AGO
1024843393,Namacunde,Namacunde,AGO
1024863343,Vila Teixeira da Silva,Vila Teixeira da Silva,AGO
1024864144,Capenda Camulemba,Capenda Camulemba,AGO
1024883433,Tchitato,Tchitato,AGO
1024891825,Caimbambo,Caimbambo,AGO
1024892795,Chicomba,Chicomba,AGO
